ФРГ намерена закупить сотни новых танков Leopard 2 для Бундесвера в рамках обязательств перед НАТО, сообщает Bild. ;Новости и политика
5-летний мальчик, раненный при атаке ВСУ на пляж в Курске, умер  Он скончался во время транспортировки в Москву, травмы оказались слишком тяжёлыми. У ребёнка было более 30% ожогов тела.   Малыш пытался закрыть собой маму, сообщают СМИ. ;Новости и политика
Крупнейший порт Европы готовится к войне с Россией — Financial Times Роттердам готовится к потенциальному конфликту с Россией: там резервируют места для судов, перевозящих военные грузы. А также планируют, куда их перенаправить в случае начала войны, говорится в статье. Гендиректор голландского порта заявил, что договаривается с соседним Антверпеном по поводу координации действий в случае прибытия транспортных средств и оснащения из Британии, США и Канады. ;Новости и политика
Путин подписал указ о создании до 30 июня 2026 года информационного ресурса «Цифровой профиль иностранного гражданина». Он необходим для обеспечения безопасности государства и совершенствования миграционной политики, говорится в документе. ;Новости и политика
Китайский автомобиль в России дорожает в 2,5 раза — больше миллиона рублей россияне переплачивают из-за пошлин, налогов и утильсбора.  ;Новости и политика
После прихода талибов к власти, площадь посева маковых полей сократилось в 14 раз — официальный представитель МИД РФ Захарова ;Новости и политика
В Россию завезут миллион рабочих из Индии, сообщил глава Уральской торгово-промышленной палаты Беседин. По его словам, уже достигнуты договорённости, в том числе с индийской стороной. «Достигнуты договорённости, в частности, с Индией. Насколько я слышал от своих индийских коллег, до конца года в Россию, в том числе и Свердловскую область, приедет 1 миллион специалистов из Индии», отметил Беседин.  ;Новости и политика
Мерц заявил, что дипломатические возможности для урегулирования войны в Украине «исчерпаны», — Reuters ;Новости и политика
В России готовят резкое повышение налога на старые автомобили — особенно для тех, что старше 15 лет. Ассоциация дилеров предлагает не только поднять ставки, но и обязать владельцев проходить техосмотр каждые полгода. Цель — заставить россиян быстрее менять машины.  ;Новости и политика
Сегодня ВС РФ запустили 728 Shahed-136, в том числе обманки, — ВВС Украины. И все сбили!  ;Новости и политика
CNN опубликовали аудио 2024 года, на котором Трамп угрожает разбомбить Москву и Пекин: Я сказал Путину: “Если ты войдёшь на Украину, я разбомблю к черту Москву. Говорю тебе — у меня не будет выбора.” А он такой: “Не верю тебе.” Сказал: “Ни за что.” А я ему: “Ещё как.” Он снова: “Не верю.” Но правда в том, что он поверил мне… ну, на 10%. Я ведь говорил вам — он поверил мне на 10%. Потом я встречался с Си из Китая. И сказал ему то же самое: “Если нападёте на Тайвань, я разбомблю к чёрту Пекин.” Он подумал, что я сошёл с ума. Спросил: “Пекин?” Я ответил: “У меня нет выбора, мне придётся вас бомбить. Мы разбомбим Пекин.” Он тоже не поверил — но процентов на 10 всё-таки поверил. А 10% — это всё, что нужно. Честно говоря, и 5% было бы достаточно»;Новости и политика
Силы ПВО уничтожили за ночь 86 украинских беспилотников над регионами России — Минобороны РФ ;Новости и политика
Трамп заявил, что «очень серьезно» рассматривает возможность наложить санкции против России: «Мы слышим много чуши от Владимира Путина. Это всегда звучит хорошо, но в итоге бессмысленно» При этом, американский лидер отметил, что изучает законопроект о санкциях против России, который внесен в Конгресс, но не собирается публично говорить о своих будущих действиях в отношении Москвы. ;Новости и политика
